"taskai","vidurkis","trasos","uolos","viso_laipioja_metu","lygis","amzius_kai_pradejo","birth","ugis","svoris","lytis"
"231791","804.83","241","50","16","8A+","22","1976-04-10 00:00:00","173","73","0"
"61561","654.90","89","11","7","7C+","25","1971-05-30 00:00:00","186","73","0"
"5944","495.33","12","5","4","6B+","19","1970-12-09 00:00:00","178","73","0"
"426883","858.92","478","48","17","8B","21","1974-10-29 00:00:00","165","63","0"
"350","350.00","1","1","1","5C","20","1975-02-15 00:00:00","167","68","0"
"2353","784.33","3","1","2","7B","17","1981-10-04 00:00:00","185","73","0"
"64378","564.72","107","9","7","7A+","47","1953-05-07 00:00:00","172","63","0"
"139028","868.93","154","16","8","8B","17","1973-08-27 00:00:00","173","63","0"
"222886","515.94","406","18","9","7C+","17","1974-12-31 00:00:00","175","68","0"
"125496","1110.58","103","29","6","8C","11","1979-02-19 00:00:00","178","68","0"
"466598","927.63","415","44","14","8C","16","1980-01-27 00:00:00","170","68","0"
"563855","918.33","597","65","17","8B+","15","1982-03-02 00:00:00","178","73","0"
"1762606","817.16","2115","103","21","8C+","17","1977-07-01 00:00:00","178","63","0"
"350633","889.93","362","49","15","8B","8","1982-12-13 00:00:00","175","73","0"
"708823","620.69","989","58","20","8A+","22","1972-06-26 00:00:00","186","78","0"
"387574","1017.25","349","62","18","8C","18","1973-02-17 00:00:00","175","63","0"
"60238","1075.68","53","18","4","8C","12","1983-06-16 00:00:00","250","100","0"
"22224","542.05","37","5","6","7B","20","1975-07-08 00:00:00","184","63","0"
"559934","873.53","569","90","14","8B+","15","1982-08-19 00:00:00","175","68","0"
"6817","568.08","11","3","3","6C+","23","1977-04-02 00:00:00","176","63","0"
"33437","566.73","53","14","4","7A+","19","1981-11-28 00:00:00","177","68","0"
"230243","816.46","249","44","13","7C","12","1967-10-03 00:00:00","181","73","0"
"215362","569.74","332","70","7","7B","27","1973-10-14 00:00:00","156","48","1"
"1745","290.83","2","1","1","5C","32","1968-07-24 00:00:00","176","78","0"
"748","374.00","2","2","2","6C","19","1978-02-14 00:00:00","180","78","0"
"33157","736.82","40","17","4","7B+","22","1973-01-05 00:00:00","182","78","0"
"32989","733.09","45","18","5","7B+","26","1973-07-16 00:00:00","167","53","1"
"11030","848.46","11","8","5","7C","19","1970-08-11 00:00:00","185","78","0"
"1495","373.75","4","2","3","6B","23","1977-09-12 00:00:00","172","83","0"
"201475","978.03","204","31","19","8C","16","1980-04-14 00:00:00","166","63","0"
"245386","730.32","330","44","15","8B","16","1971-01-24 00:00:00","178","63","0"
"37227","531.81","70","6","4","7A+","13","1985-11-21 00:00:00","151","48","1"
"48340","347.77","130","19","7","6B","42","1945-11-19 00:00:00","192","73","0"
"21444","549.85","37","8","3","7A+","19","1982-09-13 00:00:00","178","63","0"
"804266","605.17","1254","22","17","8B","21","1980-12-21 00:00:00","181","73","0"
"73912","703.92","100","10","7","7C","28","1972-10-21 00:00:00","101","100","0"
"17963","690.88","20","11","3","8A","39","1947-11-26 00:00:00","183","78","0"
"262162","680.94","347","47","10","8A","28","1969-11-18 00:00:00","190","68","0"
"670701","811.99","800","76","27","8B","17","1971-11-06 00:00:00","167","78","0"
"289963","779.47","366","18","13","8B","15","1972-05-08 00:00:00","181","73","0"
"144409","633.37","216","24","11","7C+","16","1982-05-10 00:00:00","182","83","0"
"23574","673.54","35","8","3","7C","21","1969-06-04 00:00:00","185","73","0"
"29438","774.68","37","17","2","7C","15","1978-10-06 00:00:00","188","73","0"
"46212","669.74","61","13","5","8A","20","1980-05-06 00:00:00","172","73","0"
"21754","543.85","40","3","5","7A","21","1973-11-18 00:00:00","172","73","0"
"33275","652.45","50","11","6","7B","18","1977-02-08 00:00:00","193","73","0"
"494740","640.85","690","37","12","7C+","20","1980-03-06 00:00:00","185","73","0"
"8622","507.18","17","3","3","7A","18","1982-11-02 00:00:00","180","68","0"
"18015","461.92","39","4","2","6B+","22","1978-06-30 00:00:00","190","83","0"
"112788","644.50","172","17","4","7C","17","1981-07-22 00:00:00","180","73","0"
"119603","866.69","125","13","7","8A+","20","1973-05-30 00:00:00","170","68","0"
"42623","591.99","65","3","5","7A+","22","1976-03-10 00:00:00","176","73","0"
"690008","631.30","770","37","14","8A","19","1968-12-12 00:00:00","184","68","0"
"33854","573.80","59","4","6","7C","21","1977-02-25 00:00:00","170","58","0"
"23341","972.54","20","8","5","8B","14","1956-12-13 00:00:00","177","63","0"
